Account Name,Account ID,Tier,NTEE code,EIN,One time donations amount,Recurring donations amount,Total Donations Amount,FRU - Sector,FRU - Subsector
Best Friends Animal Society,AFZUYXBL,Tier 1 ($100K+),D20: Animal Protection and Welfare,23-7147797,"$11,514,493","$5,615,061","$17,129,554",Animal Welfare,Animal Welfare - General
Partners In Health,AJDEFYWC,Tier 1 ($100K+),"Q30: International Development, Relief Services",04-3567502,"$8,097,732","$7,162,876","$15,260,608",International Affairs,International Affairs - General
Canadian Cancer Society,APZMZAGU,Tier 1 ($100K+),G30: Cancer,98-6001242,"$12,877,396","$1,925,860","$14,803,256",Healthcare,Healthcare - Cancer
Spotlight Humanity,ACTVVQYC,,S50: Nonprofit Management,33-1754908,"$2,626,507","$753,428","$3,379,935",Public and Society Benefit,Public & Society Benefit - General
Spotlight Humanity,ANBZKKHQ,,S50: Nonprofit Management,33-1754908,"$7,191,703","$3,564,648","$10,756,351",Public and Society Benefit,Public & Society Benefit - General
Thunderbird (MZLA Technologies),ADGJGYAN,,,,"$11,512,730","$1,005,127","$12,517,858",,
Greater Good Charities,AHTMBNKF,Tier 3 ($20K–$50K),T30: Public Foundations,20-4846675,"$7,941,314","$3,889,364","$11,830,678",Public and Society Benefit,Public & Society Benefit - General
Smile Train,ASWDAQZD,Tier 1 ($100K+),G40: Diseases of Specific Organs,13-3661416,"$9,874,421","$1,936,587","$11,811,008",Healthcare,Healthcare - General
MusiCares,AZRKGFZM,Tier 3 ($20K–$50K),P20: Human Service Organizations,95-4470909,"$10,005,475","$80,937","$10,086,412",Human Services,Human Services - General
Daily Bread Food Bank,APSGZTRJ,Tier 1 ($100K+),"K31: Food Banks, Food Pantries",,"$7,507,616","$1,373,867","$8,881,482",Food & Nutrition,Food Banks
Daily Giving,AYEWEYZD,Tier 4 ($10K–$20K),T30: Public Foundations,83-0829905,"$151,976","$8,704,435","$8,856,411",Public and Society Benefit,Public & Society Benefit - General
Catholic Charities USA,ALDDGZXS,Tier 2 ($50K–$100K),X20,53-0196620,"$6,711,829","$1,991,235","$8,703,064",Religion,Religion - Christian
CURE International,ABBNLXBU,Tier 3 ($20K–$50K),"E24: Hospital, Specialty",58-2248383,"$4,645,299","$3,986,554","$8,631,853",Healthcare,Healthcare - Hospitals
Boys Town,ABBJJMKP,Tier 1 ($100K+),"P70: Residential, Custodial Care (Group Home)",,"$5,340,623","$3,203,393","$8,544,017",Human Services,"Human Services - Housing, Shelter"
International Rescue Committee,AFGSSTXA,Tier 1 ($100K+),Q710,13-5660870,"$8,300,847",$0,"$8,300,847",International Affairs,International Affairs - General
ONG LIFE,AJMNKTJZ,Tier 2 ($50K–$100K),,,"$6,511,181","$1,497,641","$8,008,822",,
Susan G. Komen,AGQCQTTK,Tier 2 ($50K–$100K),G30: Cancer,75-1835298,"$6,987,580","$799,242","$7,786,822",Healthcare,Healthcare - Cancer
Feed the Children,AHQLCMJQ,Tier 1 ($100K+),Q33: International Relief,73-6108657,"$5,283,773","$2,467,821","$7,751,594",International Affairs,International Affairs - General
Colel Chabad HQ,AZELQFFN,Tier 5 ($5K–10K),X30: Jewish,11-3254483,"$6,789,973","$807,404","$7,597,377",Religion,Religion - Jewish
Union Gospel Mission,ASVMEEMY,Tier 1 ($100K+),P85: Homeless Persons Centers and Services,,"$4,481,138","$3,043,874","$7,525,011",Human Services,"Human Services - Housing, Shelter"
Humaniti USA,AKVBCGZY,,Q33: International Relief,92-3079413,"$5,713,466","$1,791,338","$7,504,804",International Affairs,International Affairs - General
Food Banks Canada,AUHWRJYC,Tier 2 ($50K–$100K),"K31: Food Banks, Food Pantries",,"$6,236,972","$1,195,337","$7,432,309",Food & Nutrition,Food Banks
Alzheimer's Society,AFLRGULE,Tier 1 ($100K+),G83: Alzheimers Disease,,"$7,034,417","$358,065","$7,392,482",Healthcare,Healthcare - General
USO,AWFXWKCB,Tier 1 ($100K+),"W30: Military, Veterans Organizations",20-8861567,"$7,143,588","$211,710","$7,355,298",Public and Society Benefit,Public & Society Benefit - General
Operation Smile,ATVPVDAJ,Tier 1 ($100K+),"Q30: International Development, Relief Services",54-1460147,"$4,766,478","$2,457,422","$7,223,900",International Affairs,International Affairs - General
Project HOPE,ATGYYFNG,Tier 3 ($20K–$50K),"Q30: International Development, Relief Services",53-0242962,"$5,587,864","$1,456,572","$7,044,436",International Affairs,International Affairs - General
Make-A-Wish Foundation of America,AKVYFUBL,Tier 1 ($100K+),E86: Patient Services,86-0481941,"$6,599,397","$143,882","$6,743,280",Healthcare,Healthcare - General
1A Najam Relief - CB,ALCEJEUX,,,,"$6,210,303","$521,760","$6,732,063",,
Mozilla Foundation,ADCYPWMX,Tier 3 ($20K–$50K),"U40: Engineering and Technology Research, Services",20-0097189,"$4,786,521","$1,658,911","$6,445,432",Science & Technology,Science & Technology - General
The Mustard Seed,AVZLAWYL,Tier 1 ($100K+),"P70: Residential, Custodial Care (Group Home)",,"$4,967,633","$1,464,717","$6,432,350",Human Services,"Human Services - Housing, Shelter"
Obama Foundation,AHNVSXNQ,Tier 1 ($100K+),,,"$3,824,131","$2,598,427","$6,422,558",,
Greater Vancouver Food Bank,AYCPEXCR,Tier 1 ($100K+),Not US,,"$3,788,681","$2,512,685","$6,301,366",Human Services,Human Services - Sports & Youth Development
Community FoodBank of NJ,ASETENKY,Tier 1 ($100K+),,,"$4,360,322","$1,878,871","$6,239,193",,
United Nations Population Fund,ACSRWCJP,Tier 2 ($50K–$100K),,,"$3,855,335","$2,371,059","$6,226,394",,
Friends of Indus Hospital,AUEZFWFY,Tier 6 (<$5K),E112,20-4751162,"$4,769,396","$1,218,049","$5,987,445",Human Services,Human Services - General
Christian Appalachian Project,ABGAXMMM,Tier 1 ($100K+),P20: Human Service Organizations,61-0661137,"$4,102,541","$1,701,857","$5,804,398",Human Services,Human Services - General
San Diego Food Bank,ANPKBVVS,Tier 1 ($100K+),"K31: Food Banks, Food Pantries",20-4374795,"$5,027,608","$748,748","$5,776,355",Food & Nutrition,Food Banks
American Diabetes Association,AXDZQYPT,Tier 2 ($50K–$100K),G80: Specifically Named Diseases,13-1623888,"$4,981,706","$776,500","$5,758,206",Healthcare,Healthcare - General
The Joshua Fund,AKABBKSS,Tier 1 ($100K+),"Q30: International Development, Relief Services",20-5350994,"$2,891,896","$2,677,482","$5,569,379",International Affairs,International Affairs - General
SU2C American Airlines,AGDVEKDU,,,,"$5,489,190",$0,"$5,489,190",,
IFAW US/INT,AWMWZJRX,Tier 1 ($100K+),,,"$3,156,233","$2,174,887","$5,331,120",,
BC SPCA,AYWVYXKU,Tier 1 ($100K+),,,"$3,383,285","$1,640,383","$5,023,668",,
Society of St. Vincent de Paul of Phoenix,ACFYBJHQ,Tier 1 ($100K+),X22: Roman Catholic,,"$4,642,950","$339,691","$4,982,641",Religion,Religion - General
NYC Muslim Center,ABAGJSNG,Tier 1 ($100K+),X40: Islamic,27-3308812,"$4,782,712","$140,283","$4,922,996",Religion,Religion - Islamic
Council on American-Islamic Relations,AANRTYJY,Tier 1 ($100K+),A23,87-0764660,"$4,216,546","$627,273","$4,843,819",,
Food Bank of Contra Costa and Solano,AXNLQDYH,Tier 2 ($50K–$100K),"K31: Food Banks, Food Pantries",94-2418054,"$3,670,171","$1,169,313","$4,839,483",Food & Nutrition,Food Banks
Gleaners Community Food Bank,AQXGTPZS,Tier 1 ($100K+),,,"$3,963,209","$741,259","$4,704,469",,
Northwest Harvest,AEVYBPZT,Tier 2 ($50K–$100K),"K30: Food Service, Free Food Distribution Programs",91-0826037,"$3,487,749","$1,214,426","$4,702,175",Food & Nutrition,Food Banks
CAFOD,AMHQWEVX,Tier 2 ($50K–$100K),Q33: International Relief,,"$3,827,738","$842,369","$4,670,107",International Affairs,International Affairs - General
World Concern,AYJLCWXL,,,,"$2,387,541","$2,227,055","$4,614,596",,
David Hernandez Ministries,APQKCPHZ,Tier 2 ($50K–$100K),X20: Christian,47-3175832,"$1,539,013","$3,045,721","$4,584,734",Religion,Religion - Christian
Boys & Girls Clubs of America,ALGMTNTC,Tier 1 ($100K+),O230,13-5562976,"$3,652,395","$735,227","$4,387,622",,
Calgary Food Bank,AVCWRLMW,Tier 1 ($100K+),"K31: Food Banks, Food Pantries",,"$4,122,598","$80,318","$4,202,916",Food & Nutrition,Food Banks
Wheeler Mission,ATEVEEFP,Tier 2 ($50K–$100K),P85: Homeless Persons Centers and Services,35-0888771,"$2,985,073","$1,196,053","$4,181,126",Human Services,"Human Services - Housing, Shelter"
ACN - USA English,AWWMGJWJ,Tier 1 ($100K+),,,"$3,015,769","$1,164,166","$4,179,935",,
The ALS Association,AUHPRTEB,Tier 1 ($100K+),"G50: Nerve, Muscle, and Bone Diseases",,"$3,921,519","$173,155","$4,094,675",Healthcare,Healthcare - General
Hawai‘i Foodbank,AKLVKPQE,Tier 2 ($50K–$100K),,,"$3,144,565","$873,278","$4,017,843",,
Undue Medical Debt,AHZARCZC,Tier 2 ($50K–$100K),P50: Personal Social Services,,"$2,804,943","$1,090,754","$3,895,697",Human Services,Human Services - General
Radical,AQXHJKUK,Tier 2 ($50K–$100K),X20: Christian,27-2343084,"$2,290,011","$1,570,164","$3,860,175",Religion,Religion - Christian
Feeding Westchester,AMPUYMUP,Tier 3 ($20K–$50K),"K30: Food Service, Free Food Distribution Programs",13-3507988,"$2,499,315","$1,308,850","$3,808,165",Food & Nutrition,Food Banks
Humaniti,AJDZGJPP,Tier 2 ($50K–$100K),"Q30: International Development, Relief Services",92-3079413,"$2,203,154","$1,558,150","$3,761,304",International Affairs,International Affairs - General
USA for UNFPA,AWZMSZKB,Tier 5 ($5K–10K),"Q71: International Migration, Refugee Issues",13-3996346,"$2,303,864","$1,273,124","$3,576,988",International Affairs,International Affairs - General
Friends of the Israel Defense Forces,ATALZWRN,Tier 1 ($100K+),Q123,13-3156445,"$3,560,973","$1,746","$3,562,719",,
Smithsonian Institution,AVCYLAJJ,,"A56: Natural History, Natural Science Museums",53-0206027,"$3,214,993","$245,573","$3,460,566",Arts & Culture,Arts & Culture - General
Let Them Live,ABWENMKQ,Tier 2 ($50K–$100K),P01: Human Services Alliances and Advocacy,83-3480264,"$1,680,422","$1,726,446","$3,406,868",Human Services,Human Services - General
Women for Women International (US),AEZNPDWT,,,,"$2,222,690","$1,172,374","$3,395,065",,
Médecins Sans Frontières Ireland,ADLVBFDL,Tier 3 ($20K–$50K),,,"$2,905,819","$383,413","$3,289,232",,
March of Dimes,AJPYNTWD,Tier 1 ($100K+),G30: Cancer,13-1846366,"$2,778,131","$507,230","$3,285,361",Healthcare,Healthcare - Cancer
HIAS,AVNBVQPM,Tier 2 ($50K–$100K),"Q71: International Migration, Refugee Issues",13-5633307,"$3,051,058","$219,750","$3,270,808",International Affairs,International Affairs - General
Alzheimer Society of Canada,AEEUYGTC,Tier 3 ($20K–$50K),G83: Alzheimers Disease,,"$3,031,640","$233,592","$3,265,232",Healthcare,Healthcare - General
Matthew 25: Ministries,AYCWZWGY,Tier 3 ($20K–$50K),"Q12: International, Foreign Affairs and National Security Fund Raising and Fund Distribution",31-1348100,"$2,643,853","$612,877","$3,256,730",International Affairs,International Affairs - General
The Food Bank of Waterloo Region,AXRBQVQH,Tier 3 ($20K–$50K),K31: Food Banks & Pantries,,"$2,374,556","$880,518","$3,255,074",Food & Nutrition,Food Banks
The Ottawa Mission,AGBPCSCJ,Tier 2 ($50K–$100K),X00: Religion: General,,"$2,733,899","$480,963","$3,214,862",Religion,Religion - General
Stand Up To Cancer,AYDKPHBH,Tier 2 ($50K–$100K),T12,88-4115555,"$2,597,506","$530,577","$3,128,084",Public and Society Benefit,Public & Society Benefit - General
Oregon Humane Society,AGWWNSMN,Tier 3 ($20K–$50K),D20: Animal Protection and Welfare,93-0386880,"$1,598,543","$1,519,364","$3,117,906",Animal Welfare,Animal Welfare - General
Society of St. Vincent de Paul Ireland,AVYLHELK,Tier 1 ($100K+),,,"$3,055,434","$48,778","$3,104,212",,
National Museum of African American History & Culture,ASQMJVUY,,,,"$2,605,421","$493,846","$3,099,267",,
Pancreatic Cancer Action Network,ABJJCCQK,Tier 2 ($50K–$100K),G30: Cancer,33-0841281,"$2,897,904","$146,574","$3,044,478",Healthcare,Healthcare - Cancer
Rainforest Trust,ACMRCWPB,Tier 2 ($50K–$100K),C30: Natural Resources Conservation and Protection,13-3500609,"$1,855,993","$1,178,841","$3,034,834",Environment,Environment - General
Mercy-USA for Aid and Development,AGSZYUJQ,Tier 2 ($50K–$100K),Q33: International Relief,38-2846307,"$2,573,886","$404,951","$2,978,837",International Affairs,International Affairs - General
neverthirst,RWHMSQPD,Tier 4 ($10K–$20K),"Q30: International Development, Relief Services",45-0594639,"$2,303,226","$635,032","$2,938,259",International Affairs,International Affairs - General
InnerScience Research Fund,AKWZXSEB,Tier 5 ($5K–10K),,,"$1,448,942","$1,427,103","$2,876,045",,
Love A Child,AZCTVWQQ,Tier 2 ($50K–$100K),Q33: International Relief,59-2672303,"$1,822,964","$977,263","$2,800,227",International Affairs,International Affairs - General
The Jewish Federation of Greater Washington,ANFDKLPL,Tier 1 ($100K+),X30: Jewish,53-0212445,"$2,533,755","$260,499","$2,794,255",Religion,Religion - Jewish
Crohn's & Colitis Foundation,AVBTATUK,Tier 3 ($20K–$50K),G90: Medical Disciplines,13-6193105,"$2,592,045","$193,347","$2,785,392",Healthcare,Healthcare - General
Diabetes Canada,ACCZQBQS,Tier 3 ($20K–$50K),"G: Diseases, Disorders, Medical Disciplines",,"$2,272,177","$495,438","$2,767,615",Healthcare,Healthcare - General
Penny Appeal USA,AADUPHBU,Tier 1 ($100K+),Q33: International Relief,47-5165837,"$2,123,212","$627,836","$2,751,048",International Affairs,International Affairs - General
UMMA,AGCNVMTH,,"L20: Housing Development, Construction, Management",86-3883211,"$1,132,914","$1,612,346","$2,745,260",Human Services,"Human Services - Housing, Shelter"
Dallas Theological Seminary,AUASVNBM,Tier 2 ($50K–$100K),B42: Undergraduate College (4-year),75-0827421,"$2,028,474","$674,327","$2,702,801",Education,Higher Education
Amazima Ministries,AMUJNGWP,Tier 2 ($50K–$100K),,,"$1,485,532","$1,182,072","$2,667,604",,
Proverbs 31 Ministries,ARLMLBYH,Tier 3 ($20K–$50K),X20: Christian,,"$2,018,251","$611,165","$2,629,416",Religion,Religion - Christian
Autism Speaks,AGZKYDGZ,Tier 3 ($20K–$50K),G84: Autism,20-2329938,"$1,985,738","$595,518","$2,581,256",Healthcare,Healthcare - General
Toronto Humane Society,AKPJEQEY,Tier 3 ($20K–$50K),Not US,,"$1,131,586","$1,449,089","$2,580,675",Human Services,Human Services - Sports & Youth Development
Operation Smile Canada,AJYUCFAV,Tier 3 ($20K–$50K),"Q: International, Foreign Affairs, and National Security",,"$2,310,400","$129,981","$2,440,382",International Affairs,International Affairs - General
MATW Najam,AMRGMQAT,,,,"$2,215,451","$152,067","$2,367,518",,
Mercy Ships Australia,AWKKWSUU,Tier 2 ($50K–$100K),Q33: International Relief,,"$1,475,362","$865,000","$2,340,363",International Affairs,International Affairs - General
Central Pennsylvania Food Bank,AKLWPJCD,Tier 3 ($20K–$50K),"K31: Food Banks, Food Pantries",23-2202250,"$1,783,645","$551,288","$2,334,932",Food & Nutrition,Food Banks
Sleep in Heavenly Peace,AHHBESMB,Tier 4 ($10K–$20K),L99,46-4346568,"$1,990,490","$336,706","$2,327,196",Human Services,"Human Services - Housing, Shelter"
Surfrider Foundation,AJNCVPHU,Tier 3 ($20K–$50K),C60: Environmental Education,95-3941826,"$1,465,400","$844,604","$2,310,004",Environment,Environment - General
Helen Keller Intl,AEBEFEXG,Tier 2 ($50K–$100K),,,"$1,991,548","$314,730","$2,306,278",,
ACN - Spain,AMHUSTQA,,,,"$1,936,134","$365,107","$2,301,242",,
American Humane Society,ATZUNKUS,Tier 2 ($50K–$100K),,,"$1,501,209","$794,808","$2,296,017",,
Both Hands,ALUQYLJK,Tier 2 ($50K–$100K),P31: Adoption,26-1879659,"$2,136,578","$157,760","$2,294,338",Human Services,Human Services - General
Lustgarten Foundation,AEDVPKAW,Tier 3 ($20K–$50K),H12: Medical Research Fund Raising and Fund Distribution,31-1611837,"$2,119,285","$166,798","$2,286,083",Healthcare,Healthcare - General
Fellowship of Israel Related Ministries,ANUWBNWK,Tier 3 ($20K–$50K),X20,47-2768324,"$1,178,143","$1,098,445","$2,276,588",Religion,Religion - Christian
Sea Shepherd Global,ASAUPACV,Tier 3 ($20K–$50K),,,"$1,158,619","$1,108,665","$2,267,283",,
ACN - France,AKXLNHGC,,,,"$2,242,287","$8,751","$2,251,038",,
St Martin-in-the-Fields Charity,AAURWRZC,Tier 3 ($20K–$50K),,,"$2,175,750","$57,260","$2,233,010",,
Make-A-Wish Canada,AHEZTVBW,Tier 2 ($50K–$100K),E86: Patient Services,,"$2,185,550","$29,372","$2,214,922",Healthcare,Healthcare - General
Yonge Street Mission,AYSVKLHR,Tier 3 ($20K–$50K),Not US,,"$1,526,947","$668,533","$2,195,481",Human Services,Human Services - Sports & Youth Development
Orbis International,ADUSYVUZ,Tier 3 ($20K–$50K),"Q30: International Development, Relief Services",23-7297651,"$822,866","$1,351,935","$2,174,802",International Affairs,International Affairs - General
Arkansas Foodbank,AGLZRAKC,Tier 3 ($20K–$50K),"K31: Food Banks, Food Pantries",71-0596734,"$1,864,591","$309,100","$2,173,691",Food & Nutrition,Food Banks
"Soroptimist International Of The Americas, INC",ABHJPVCZ,Tier 5 ($5K–10K),S80: Community Service Clubs,23-2154856,"$1,665,733","$503,849","$2,169,582",Public and Society Benefit,Public & Society Benefit - General
Second Harvest Inland Northwest,AHJQNDCA,Tier 4 ($10K–$20K),"K31: Food Banks, Food Pantries",23-7173826,"$1,468,174","$657,417","$2,125,591",Food & Nutrition,Food Banks
Stronghold Rescue and Relief,AMELTBAQ,Tier 2 ($50K–$100K),P60: Emergency Assistance,83-2711117,"$133,596","$1,976,008","$2,109,604",Human Services,Human Services - General
International Medical Corps,AGACXGAW,Tier 1 ($100K+),Q33: International Relief,95-3949646,"$1,698,282","$366,403","$2,064,685",International Affairs,International Affairs - General
Foundation For Individual Rights and Expression,ABXBVMVA,Tier 2 ($50K–$100K),R630,04-3467254,"$1,562,914","$484,063","$2,046,978",,
Mercy Ships UK,ANRVANRZ,Tier 2 ($50K–$100K),Q33: International Relief,,"$1,546,632","$487,193","$2,033,825",International Affairs,International Affairs - General
OneHope,ADVSYLJL,Tier 3 ($20K–$50K),Q33: International Relief,65-0246247,"$1,537,055","$493,089","$2,030,143",International Affairs,International Affairs - General
FINCA,AXDBMGJR,Tier 1 ($100K+),,,"$1,672,073","$338,472","$2,010,545",,
Benny Hinn Ministries,ADTQAZVA,Tier 1 ($100K+),,,"$1,415,717","$569,742","$1,985,459",,
Mission Bon Accueil,AHKWQRUP,Tier 2 ($50K–$100K),Not US,,"$1,610,603","$368,140","$1,978,743",Human Services,Human Services - Sports & Youth Development
National Council of Canadian Muslims,ACFRVWZR,Tier 3 ($20K–$50K),"X: Religion Related, Spiritual Development",,"$1,049,116","$924,327","$1,973,443",Religion,Religion - General
St. Michael's Hospital Foundation,AXHXRXCU,Tier 1 ($100K+),T30: Public Foundations,46-0225414,"$1,877,954","$55,006","$1,932,960",Public and Society Benefit,Public & Society Benefit - General
Trust for Public Land,AMAYNAQU,Tier 3 ($20K–$50K),C34: Land Resources Conservation,23-7222333,"$1,633,508","$297,267","$1,930,775",Environment,Environment - General
The Deen Center,ABAYAGBN,Tier 1 ($100K+),X12: Religion-Related Fund Raising and Fund Distribution,86-2315801,"$879,403","$1,032,543","$1,911,946",Religion,Religion - General
The Bail Project,AYHQYPSQ,Tier 3 ($20K–$50K),I80: Legal Services,81-4985512,"$518,867","$1,389,813","$1,908,680",Public and Society Benefit,"Public & Society Benefit - Crime, Legal"
Love Justice International,AQQGCCQX,Tier 5 ($5K–10K),Q33: International Relief,71-0982808,"$801,508","$1,104,210","$1,905,717",International Affairs,International Affairs - General
Shalom Media USA,APTVKVDU,,X80,30-0585506,"$85,212","$1,816,100","$1,901,312",,
Thich Nhat Hanh Foundation,AGZYZXUL,Tier 2 ($50K–$100K),X00: Religion: General,,"$597,610","$1,293,156","$1,890,766",Religion,Religion - General
Bay Area Rescue Mission,AGEMTLDN,Tier 3 ($20K–$50K),P20: Human Service Organizations,94-6124054,"$1,418,523","$463,451","$1,881,973",Human Services,Human Services - General
Greater Baton Rouge Food Bank,ARYXRDQL,Tier 3 ($20K–$50K),"K31: Food Banks, Food Pantries",72-1065318,"$1,281,982","$578,882","$1,860,864",Food & Nutrition,Food Banks
Light Bearers,ATZRLDLL,Tier 3 ($20K–$50K),,,"$1,500,644","$350,747","$1,851,392",,
WIRES,AHPNKCQV,Tier 4 ($10K–$20K),S40: Business and Industry,33-1144942,"$1,324,022","$519,861","$1,843,884",Public and Society Benefit,Public & Society Benefit - General
Durham Rescue Mission,ALCUDRVC,Tier 2 ($50K–$100K),X20: Christian,,"$1,406,771","$423,393","$1,830,165",Religion,Religion - Christian
San Diego Zoo Wildlife Alliance,ALRDNPPL,Tier 1 ($100K+),"D50: Zoo, Zoological Society",,"$1,639,718","$180,926","$1,820,645",Animal Welfare,Animal Welfare - General
San Francisco SPCA,ALPSUTTK,Tier 2 ($50K–$100K),D20: Animal Protection and Welfare,,"$1,192,378","$615,116","$1,807,495",Animal Welfare,Animal Welfare - General
Mel Trotter Ministries,ACBBQBMS,Tier 3 ($20K–$50K),X20: Christian,38-1410467,"$1,276,034","$529,309","$1,805,344",Religion,Religion - Christian
Irish Cancer Society,AQANHQCE,Tier 1 ($100K+),G30: Cancer,,"$1,574,477","$203,848","$1,778,325",Healthcare,Healthcare - Cancer
The Water Project,AJSDJUJH,Tier 5 ($5K–10K),"Q30: International Development, Relief Services",26-1455510,"$1,203,867","$571,164","$1,775,030",International Affairs,International Affairs - General
Help The Persecuted,ATLYZYWR,Tier 2 ($50K–$100K),Q70: International Human Rights,83-1799054,"$1,095,913","$668,598","$1,764,511",International Affairs,International Affairs - General
CHOC FOUNDATION,AMNZWRCT,Tier 3 ($20K–$50K),E24,95-6097416,"$1,246,947","$502,797","$1,749,744",,
Ronald McDonald House New York,AWJDKUKJ,Tier 3 ($20K–$50K),E86: Patient Services,,"$1,469,377","$271,647","$1,741,024",Healthcare,Healthcare - General
Give to Give Foundation,ASRTNXRN,Tier 3 ($20K–$50K),P20: Human Service Organizations,47-2793705,"$1,311,445","$426,444","$1,737,888",Human Services,Human Services - General
SPCA International,AMHYFFRW,Tier 2 ($50K–$100K),D20,87-0773320,"$963,972","$772,733","$1,736,705",Animal Welfare,Animal Welfare - General
Child Mind Institute,ZSNREIBR,Tier 5 ($5K–10K),F01: Mental Health and Crisis Intervention Alliances and Advocacy,80-0478843,"$1,672,652","$61,322","$1,733,974",Healthcare,"Healthcare - Mental Health, Abuse"
Human Coalition,ATFSKVSS,Tier 3 ($20K–$50K),R62: Right to Life,26-4099950,"$852,656","$869,525","$1,722,181",Human Services,"Human Services - Civil Rights, Social Justice"
Foodbank of Southeastern Virginia and the Eastern Shore,AERZDLUB,Tier 2 ($50K–$100K),"K31: Food Banks, Food Pantries",52-1219783,"$1,568,875","$131,129","$1,700,004",Food & Nutrition,Food Banks
Indspire,AXYWWXGE,Tier 3 ($20K–$50K),B00: Education: General,,"$1,468,298","$231,183","$1,699,482",Education,Education - General
Lev Lalev,AEUTFKPN,Tier 3 ($20K–$50K),T30,20-5395832,"$1,230,262","$460,022","$1,690,284",,
Chattanooga Area Food Bank,ANTMXJLX,Tier 3 ($20K–$50K),"K31: Food Banks, Food Pantries",62-0867645,"$1,391,466","$298,328","$1,689,793",Food & Nutrition,Food Banks
Arthritis Foundation,AEWKBBRG,Tier 3 ($20K–$50K),"G50: Nerve, Muscle, and Bone Diseases",58-1341679,"$1,376,255","$310,272","$1,686,527",Healthcare,Healthcare - General
Oscar's Place,ANBUZRXC,Tier 5 ($5K–10K),,,"$915,360","$768,916","$1,684,276",,
Global Serve International,AMZLBWYZ,Tier 3 ($20K–$50K),X20,82-1585100,"$875,789","$789,755","$1,665,543",Religion,Religion - Christian
The Terry Fox Foundation,AXBJWNFJ,Tier 3 ($20K–$50K),G30: Cancer,,"$1,539,589","$123,892","$1,663,481",Healthcare,Healthcare - Cancer
Seattle Humane,AEKVYBXA,Tier 2 ($50K–$100K),D20: Animal Protection and Welfare,,"$1,329,177","$331,485","$1,660,662",Animal Welfare,Animal Welfare - General
Sesame Workshop,AFJZWRKR,Tier 3 ($20K–$50K),A32: Television,13-2655731,"$1,170,586","$484,161","$1,654,746",Arts & Culture,Arts & Culture - Media
MAP International,AYTTUBWG,Tier 3 ($20K–$50K),Q33: International Relief,36-2586390,"$1,017,510","$629,863","$1,647,373",International Affairs,International Affairs - General
Vladimir Savchuk Ministries,ACNDRTRS,Tier 3 ($20K–$50K),X20: Christian,,"$754,324","$890,520","$1,644,844",Religion,Religion - Christian
